year,month,sido+sgg,nolivework_in_cnt
2018,09,3611110.0,15502
2018,09,3611140.0,9847
2018,09,3611170.0,21096
2018,09,3611200.0,23456
2018,09,3611215.0,23937
2018,09,3611230.0,21650
2018,09,3611260.0,17339
2018,09,3611290.0,27606
2018,09,3611305.0,13744
2018,09,3611320.0,12712
2018,09,3611350.0,25083
2018,09,3611380.0,25379
2018,09,3611410.0,24884
2018,09,3611440.0,35007
2018,09,3611470.0,26504
2018,09,3611500.0,37740
2018,09,3611530.0,28743
2018,09,3611545.0,14633
2018,09,3611560.0,36214
2018,09,3611590.0,34064
2018,09,3611620.0,48693
2018,09,3611650.0,38142
2018,09,3611680.0,49828
2018,09,3611710.0,53203
2018,09,3611740.0,24172
2018,09,3626110.0,1179
2018,09,3626140.0,1790
2018,09,3626170.0,1827
2018,09,3626200.0,3505
2018,09,3626230.0,8379
2018,09,3626260.0,6793
2018,09,3626290.0,7544
2018,09,3626320.0,5971
2018,09,3626350.0,12999
2018,09,3626380.0,6188
2018,09,3626410.0,5902
2018,09,3626440.0,2804
2018,09,3626470.0,4750
2018,09,3626500.0,5180
2018,09,3626530.0,3584
2018,09,3626710.0,2633
2018,09,3627110.0,4422
2018,09,3627140.0,15732
2018,09,3627170.0,3903
2018,09,3627200.0,5231
2018,09,3627230.0,14800
2018,09,3627260.0,21819
2018,09,3627290.0,17627
2018,09,3627710.0,7231
2018,09,3628110.0,5362
2018,09,3628140.0,802
2018,09,3628177.0,12440
2018,09,3628185.0,15230
2018,09,3628200.0,17675
2018,09,3628237.0,20183
2018,09,3628245.0,10108
2018,09,3628260.0,21484
2018,09,3628710.0,831
2018,09,3628720.0,196
2018,09,3629110.0,4849
2018,09,3629140.0,15266
2018,09,3629155.0,10386
2018,09,3629170.0,18984
2018,09,3629200.0,18387
2018,09,3630110.0,111252
2018,09,3630140.0,123502
2018,09,3630170.0,305031
2018,09,3630200.0,356249
2018,09,3630230.0,121335
2018,09,3631110.0,6733
2018,09,3631140.0,9878
2018,09,3631170.0,4451
2018,09,3631200.0,4631
2018,09,3631710.0,8628
2018,09,3641111.0,19480
2018,09,3641113.0,25471
2018,09,3641115.0,15132
2018,09,3641117.0,29603
2018,09,3641131.0,15723
2018,09,3641133.0,11333
2018,09,3641135.0,40084
2018,09,3641150.0,11883
2018,09,3641171.0,14115
2018,09,3641173.0,24472
2018,09,3641190.0,40754
2018,09,3641210.0,20400
2018,09,3641220.0,51635
2018,09,3641250.0,1922
2018,09,3641271.0,17171
2018,09,3641273.0,14925
2018,09,3641281.0,20280
2018,09,3641285.0,14071
2018,09,3641287.0,11816
2018,09,3641290.0,5644
2018,09,3641310.0,7541
2018,09,3641360.0,22050
2018,09,3641370.0,16352
2018,09,3641390.0,18922
2018,09,3641410.0,17765
2018,09,3641430.0,10206
2018,09,3641450.0,11059
2018,09,3641461.0,17453
2018,09,3641463.0,33850
2018,09,3641465.0,25992
2018,09,3641480.0,12646
2018,09,3641500.0,9616
2018,09,3641550.0,16824
2018,09,3641570.0,17837
2018,09,3641590.0,59625
2018,09,3641610.0,17094
2018,09,3641630.0,6260
2018,09,3641650.0,4064
2018,09,3641670.0,3822
2018,09,3641800.0,637
2018,09,3641820.0,1394
2018,09,3641830.0,2490
2018,09,3642110.0,4976
2018,09,3642130.0,8583
2018,09,3642150.0,2800
2018,09,3642170.0,473
2018,09,3642190.0,510
2018,09,3642210.0,512
2018,09,3642230.0,566
2018,09,3642720.0,831
2018,09,3642730.0,432
2018,09,3642750.0,359
2018,09,3642760.0,489
2018,09,3642770.0,562
2018,09,3642780.0,391
2018,09,3642790.0,256
2018,09,3642800.0,214
2018,09,3642810.0,402
2018,09,3642820.0,81
2018,09,3642830.0,136
2018,09,3643111.0,61788
2018,09,3643112.0,118949
2018,09,3643113.0,238381
2018,09,3643114.0,71762
2018,09,3643130.0,14624
2018,09,3643150.0,5909
2018,09,3643720.0,5291
2018,09,3643730.0,15926
2018,09,3643740.0,9660
2018,09,3643745.0,8683
2018,09,3643750.0,11037
2018,09,3643760.0,2845
2018,09,3643770.0,14182
2018,09,3643800.0,1145
2018,09,3644131.0,127952
2018,09,3644133.0,99284
2018,09,3644150.0,178155
2018,09,3644180.0,20866
2018,09,3644200.0,82923
2018,09,3644210.0,30575
2018,09,3644230.0,40711
2018,09,3644250.0,32937
2018,09,3644270.0,28988
2018,09,3644710.0,14879
2018,09,3644760.0,23230
2018,09,3644770.0,9348
2018,09,3644790.0,16625
2018,09,3644800.0,22656
2018,09,3644810.0,18729
2018,09,3644825.0,11007
2018,09,3645111.0,20805
2018,09,3645113.0,20380
2018,09,3645130.0,23110
2018,09,3645140.0,33177
2018,09,3645180.0,6628
2018,09,3645190.0,3846
2018,09,3645210.0,4950
2018,09,3645710.0,7144
2018,09,3645720.0,248
2018,09,3645730.0,1381
2018,09,3645740.0,190
2018,09,3645750.0,335
2018,09,3645770.0,225
2018,09,3645790.0,1884
2018,09,3645800.0,1673
2018,09,3646110.0,11461
2018,09,3646130.0,9995
2018,09,3646150.0,11000
2018,09,3646170.0,11151
2018,09,3646230.0,3807
2018,09,3646710.0,1061
2018,09,3646720.0,489
2018,09,3646730.0,350
2018,09,3646770.0,738
2018,09,3646780.0,789
2018,09,3646790.0,1417
2018,09,3646800.0,658
2018,09,3646810.0,715
2018,09,3646820.0,905
2018,09,3646830.0,2138
2018,09,3646840.0,3715
2018,09,3646860.0,345
2018,09,3646870.0,1343
2018,09,3646880.0,2446
2018,09,3646890.0,786
2018,09,3646900.0,307
2018,09,3646910.0,695
2018,09,3647111.0,8212
2018,09,3647113.0,10166
2018,09,3647130.0,10115
2018,09,3647150.0,13691
2018,09,3647170.0,2620
2018,09,3647190.0,17872
2018,09,3647210.0,1200
2018,09,3647230.0,2701
2018,09,3647250.0,3767
2018,09,3647280.0,1147
2018,09,3647290.0,11103
2018,09,3647720.0,43
2018,09,3647730.0,718
2018,09,3647750.0,33
2018,09,3647760.0,17
2018,09,3647770.0,351
2018,09,3647820.0,564
2018,09,3647830.0,165
2018,09,3647840.0,932
2018,09,3647850.0,4161
2018,09,3647900.0,1107
2018,09,3647920.0,66
2018,09,3647930.0,1095
2018,09,3647940.0,109
2018,09,3648121.0,5497
2018,09,3648123.0,6181
2018,09,3648125.0,2214
2018,09,3648127.0,2523
2018,09,3648129.0,2879
2018,09,3648170.0,5299
2018,09,3648220.0,487
2018,09,3648240.0,1332
2018,09,3648250.0,8349
2018,09,3648270.0,2623
2018,09,3648310.0,4046
2018,09,3648330.0,7330
2018,09,3648720.0,28
2018,09,3648730.0,434
2018,09,3648740.0,531
2018,09,3648820.0,56
2018,09,3648840.0,121
2018,09,3648850.0,91
2018,09,3648860.0,91
2018,09,3648870.0,161
2018,09,3648880.0,437
2018,09,3648890.0,238
2018,09,3650110.0,6332
2018,09,3650130.0,2463
