year,month,admdong_cd,spop
2017,1,36110250,29470770.820000302
2017,1,36110310,5395473.9300000295
2017,1,36110320,3147969.3000000054
2017,1,36110330,5101958.550000005
2017,1,36110340,7478523.919999965
2017,1,36110350,10592303.00999999
2017,1,36110360,6895632.849999983
2017,1,36110370,5821647.160000013
2017,1,36110380,2092617.849999987
2017,1,36110390,1323803.7900000024
2017,1,36110510,11591733.159999998
2017,1,36110515,5376970.629999968
2017,1,36110520,63810087.81999946
2017,1,36110530,398251.5999999979
2017,1,36110540,1492241.600000006
2017,1,36110555,365702.6000000002
2017,1,36110560,1112491.420000016
2017,1,44131320,16306.710000000028
2017,2,36110250,26383037.019999955
2017,2,36110310,4893613.8100000275
2017,2,36110320,2820181.8800000073
2017,2,36110330,4593095.100000005
2017,2,36110340,6789923.54
2017,2,36110350,9799769.459999992
2017,2,36110360,6093549.6400000015
2017,2,36110370,5258140.4500000095
2017,2,36110380,1861390.6700000034
2017,2,36110390,1127364.6600000076
2017,2,36110510,10766427.69000002
2017,2,36110515,5086065.320000002
2017,2,36110520,60078735.75999991
2017,2,36110530,385278.6799999984
2017,2,36110540,1504050.1799999948
2017,2,36110555,352285.5799999988
2017,2,36110560,1150691.7399999981
2017,2,44131320,11468.19999999996
2017,3,36110250,33010220.39000006
2017,3,36110310,5369444.479999967
2017,3,36110320,2955305.2599999746
2017,3,36110330,4850913.470000009
2017,3,36110340,7069894.610000043
2017,3,36110350,11402320.229999946
2017,3,36110360,6522229.309999994
2017,3,36110370,5420791.300000023
2017,3,36110380,1945701.489999992
2017,3,36110390,1145816.1500000001
2017,3,36110510,11161356.959999975
2017,3,36110515,5718152.690000005
2017,3,36110520,66849218.57999981
2017,3,36110530,476090.7500000015
2017,3,36110540,185021.14999999953
2017,3,36110555,367126.25000000146
2017,3,36110560,535778.0600000074
2017,3,44131320,13559.990000000016
2017,4,36110250,34371024.549999885
2017,4,36110310,5513731.040000027
2017,4,36110320,3034768.0699999803
2017,4,36110330,4958299.890000002
2017,4,36110340,7547446.970000003
2017,4,36110350,11954823.099999975
2017,4,36110360,6938722.139999985
2017,4,36110370,5900133.380000011
2017,4,36110380,2166353.6399999945
2017,4,36110390,1340464.9499999983
2017,4,36110510,11337944.869999958
2017,4,36110515,6649344.820000003
2017,4,36110520,69806002.91999994
2017,4,36110530,513532.30000000016
2017,4,36110555,371884.88999999815
2017,4,36110560,543100.6900000031
2017,4,44131320,22148.769999999993
2017,5,36110250,35338579.97999985
2017,5,36110310,5547198.219999995
2017,5,36110320,3537012.3799999915
2017,5,36110330,5392014.04999999
2017,5,36110340,8264211.069999967
2017,5,36110350,12267267.099999964
2017,5,36110360,7396815.340000005
2017,5,36110370,6771367.090000016
2017,5,36110380,2294751.359999992
2017,5,36110390,1420510.7600000063
2017,5,36110510,11702193.930000002
2017,5,36110515,8476375.550000003
2017,5,36110520,75632729.51999977
2017,5,36110530,546683.1100000017
2017,5,36110555,403650.38000000286
2017,5,36110560,625647.4000000142
2017,5,44131320,18469.630000000136
2017,6,36110250,32644977.71000002
2017,6,36110310,5222986.08000002
2017,6,36110320,3024185.970000026
2017,6,36110330,5063835.500000024
2017,6,36110340,7797100.419999999
2017,6,36110350,11294404.930000013
2017,6,36110360,6940339.010000008
2017,6,36110370,6044908.399999997
2017,6,36110380,2049386.6400000006
2017,6,36110390,1285184.9800000063
2017,6,36110510,11420423.54
2017,6,36110515,10169014.55000003
2017,6,36110520,73179182.14000018
2017,6,36110530,561158.1599999983
2017,6,36110555,421206.1900000004
2017,6,36110560,613517.740000003
2017,6,44131320,16024.930000000044
2017,7,36110250,29168215.440000147
2017,7,36110310,5350760.660000036
2017,7,36110320,3098158.9000000143
2017,7,36110330,4900129.429999978
2017,7,36110340,8014989.150000009
2017,7,36110350,10658955.360000003
2017,7,36110360,6944397.160000011
2017,7,36110370,5578896.749999994
2017,7,36110380,2026779.8800000024
2017,7,36110390,1244553.1600000085
2017,7,36110510,11782681.489999987
2017,7,36110515,10988654.909999918
2017,7,36110520,74408996.81999958
2017,7,36110530,618086.4000000025
2017,7,36110555,428602.4999999977
2017,7,36110560,673128.2300000103
2017,7,44131320,13939.60000000001
2017,8,36110250,28667961.499999993
2017,8,36110310,7315912.750000013
2017,8,36110320,3065865.1599999834
2017,8,36110330,4857606.849999974
2017,8,36110340,7991946.869999967
2017,8,36110350,10419541.389999993
2017,8,36110360,6988189.8599999845
2017,8,36110370,5645621.210000026
2017,8,36110380,2101826.9699999997
2017,8,36110390,1266513.1700000046
2017,8,36110510,11619700.050000027
2017,8,36110515,12182868.48000008
2017,8,36110520,72621875.75999978
2017,8,36110530,613004.6199999988
2017,8,36110555,468733.0199999966
2017,8,36110560,716838.0100000107
2017,8,44131320,14374.080000000067
2017,9,36110250,31753155.170000095
2017,9,36110310,11583307.139999947
2017,9,36110320,3403335.499999984
2017,9,36110330,4991498.879999971
2017,9,36110340,9456890.939999992
2017,9,36110350,15664318.849999938
2017,9,36110360,7098886.489999999
2017,9,36110370,5472656.139999995
2017,9,36110380,2113437.2300000014
2017,9,36110390,1265855.9399999918
2017,9,36110510,12172107.290000083
2017,9,36110515,6851789.500000036
2017,9,36110520,62383579.92999982
2017,9,36110530,1654649.5399999986
2017,9,36110555,725162.8800000029
2017,9,36110560,1181364.8100000117
2017,9,44131320,18255.63000000004
2017,10,36110250,31987119.810000055
2017,10,36110310,12881670.679999914
2017,10,36110320,3658098.930000006
2017,10,36110330,5024575.139999983
2017,10,36110340,10702471.819999952
2017,10,36110350,18274530.000000052
2017,10,36110360,7795541.790000007
2017,10,36110370,5926609.929999998
2017,10,36110380,2322496.1600000076
2017,10,36110390,1452760.1399999976
2017,10,36110510,12922409.259999985
2017,10,36110515,2974387.969999997
2017,10,36110520,60888777.49000032
2017,10,36110530,2366123.469999994
2017,10,36110555,810078.2299999974
2017,10,36110560,1421490.6399999862
2017,10,44131320,25294.530000000042
2017,11,36110250,32224357.60000007
2017,11,36110310,12753023.479999954
2017,11,36110320,3492260.649999997
2017,11,36110330,4879865.519999993
2017,11,36110340,10357870.540000046
2017,11,36110350,17963581.960000057
2017,11,36110360,7447920.32000001
2017,11,36110370,5690952.650000012
2017,11,36110380,2099573.279999988
2017,11,36110390,1356676.6399999962
2017,11,36110510,12697860.509999944
2017,11,36110515,4010572.520000005
2017,11,36110520,61569449.58000006
2017,11,36110530,2478091.1800000025
2017,11,36110555,872912.7899999999
2017,11,36110560,1362237.290000003
2017,11,44131320,14599.629999999872
2017,12,36110250,31813274.000000115
2017,12,36110310,12863047.85999997
2017,12,36110320,3414130.2199999797
2017,12,36110330,4894431.669999987
2017,12,36110340,10410842.249999987
2017,12,36110350,17481584.499999866
2017,12,36110360,7366216.939999959
2017,12,36110370,5407525.629999965
2017,12,36110380,1994941.5299999954
2017,12,36110390,1336683.0899999945
2017,12,36110510,13221182.500000184
2017,12,36110515,4909460.170000037
2017,12,36110520,65582903.38
2017,12,36110530,2412177.429999998
2017,12,36110555,828300.7700000064
2017,12,36110560,1451436.429999959
2017,12,44131320,12543.009999999866
2018,1,36110250,28338713.64999992
2018,1,36110310,12678656.119999956
2018,1,36110320,3431995.1200000076
2018,1,36110330,4974634.32
2018,1,36110340,10252159.140000056
2018,1,36110350,15603364.54999987
2018,1,36110360,7389817.060000051
2018,1,36110370,5617591.98999997
2018,1,36110380,1955337.8100000157
2018,1,36110390,1377116.6099999987
2018,1,36110510,13236714.179999975
2018,1,36110515,5457422.14999999
2018,1,36110520,70268577.94000028
2018,1,36110530,2199113.2600000096
2018,1,36110555,857698.1300000048
2018,1,36110560,1422557.4500000018
2018,1,44131320,9693.189999999939
2018,2,36110250,25949611.709999952
2018,2,36110310,11225806.169999922
2018,2,36110320,3278704.109999991
2018,2,36110330,4560312.700000017
2018,2,36110340,9816541.98999999
2018,2,36110350,13683898.969999965
2018,2,36110360,6969721.539999963
2018,2,36110370,6009774.589999991
2018,2,36110380,2003514.3500000103
2018,2,36110390,1379302.0099999963
2018,2,36110510,11926961.90999999
2018,2,36110515,5711520.089999985
2018,2,36110520,63583699.23999979
2018,2,36110530,1937316.1099999892
2018,2,36110555,716119.9299999933
2018,2,36110560,1395001.2499999937
2018,2,44131320,14613.25999999991
2018,3,36110250,33276414.959999807
2018,3,36110310,12620054.490000011
2018,3,36110320,3541786.7999999924
2018,3,36110330,4935778.420000017
2018,3,36110340,10645819.179999983
2018,3,36110350,16504706.859999983
2018,3,36110360,7416001.479999983
2018,3,36110370,5708621.309999995
2018,3,36110380,2047276.5199999982
2018,3,36110390,1367283.9499999888
2018,3,36110510,12848298.140000012
2018,3,36110515,9631341.889999988
2018,3,36110520,68724005.49000001
2018,3,36110530,2415055.3999999953
2018,3,36110555,781183.1300000038
2018,3,36110560,1512783.8600000204
2018,3,44131320,15352.390000000087
2018,4,36110250,32361829.94000011
2018,4,36110310,11900189.980000013
2018,4,36110320,3450481.3499999824
2018,4,36110330,4828895.939999986
2018,4,36110340,10643007.699999982
2018,4,36110350,15856722.09999992
2018,4,36110360,7241615.169999997
2018,4,36110370,5671111.479999989
2018,4,36110380,2066911.8699999948
2018,4,36110390,1361583.0999999978
2018,4,36110510,12254989.46999995
2018,4,36110515,12286327.839999989
2018,4,36110520,65476808.3900001
2018,4,36110530,2314271.0600000154
2018,4,36110555,704114.2900000002
2018,4,36110560,1401892.059999991
2018,4,44131320,19665.360000000026
2018,5,36110250,32774501.619999956
2018,5,36110310,12430793.02999996
2018,5,36110320,3489112.1100000003
2018,5,36110330,5062764.28999999
2018,5,36110340,10709029.110000027
2018,5,36110350,16243644.599999968
2018,5,36110360,7381709.880000007
2018,5,36110370,5848791.709999958
2018,5,36110380,2214752.200000007
2018,5,36110390,1417502.6800000097
2018,5,36110510,12380781.950000098
2018,5,36110515,14764275.980000049
2018,5,36110520,65164123.20999971
2018,5,36110530,2341335.0199999996
2018,5,36110555,716359.4299999984
2018,5,36110560,1458395.7800000028
2018,5,44131320,18445.80999999988
2018,6,36110250,30758664.47000007
2018,6,36110310,12284660.459999997
2018,6,36110320,3299060.84999998
2018,6,36110330,4910373.04999999
2018,6,36110340,10221307.540000001
2018,6,36110350,15516409.680000043
2018,6,36110360,7109064.130000019
2018,6,36110370,5573265.510000034
2018,6,36110380,2097138.0600000017
2018,6,36110390,1327334.3299999998
2018,6,36110510,12058618.479999932
2018,6,36110515,16152598.900000058
2018,6,36110520,64629990.19999988
2018,6,36110530,2305303.440000014
2018,6,36110555,691541.1000000024
2018,6,36110560,1476898.6000000103
2018,6,44131320,16519.3899999999
2018,7,36110250,28091261.01000009
2018,7,36110310,12290782.219999926
2018,7,36110320,3380374.6100000124
2018,7,36110330,5079123.999999993
2018,7,36110340,10129594.160000017
2018,7,36110350,14846393.370000057
2018,7,36110360,7316473.910000041
2018,7,36110370,5632145.000000021
2018,7,36110380,2160352.1599999946
2018,7,36110390,1382849.0800000033
2018,7,36110510,12223188.07999996
2018,7,36110515,18825738.36
2018,7,36110520,66874166.680000104
2018,7,36110530,2270513.4000000227
2018,7,36110555,712600.1399999978
2018,7,36110560,1451214.9399999757
2018,7,44131320,14903.869999999986
2018,8,36110250,27386036.21000005
2018,8,36110310,12139680.509999972
2018,8,36110320,3324398.910000015
2018,8,36110330,5182583.059999978
2018,8,36110340,9848538.359999958
2018,8,36110350,14742059.110000066
2018,8,36110360,7306278.750000011
2018,8,36110370,5673626.16000001
2018,8,36110380,2342983.060000016
2018,8,36110390,1379977.460000002
2018,8,36110510,12310490.010000005
2018,8,36110515,19449147.919999965
2018,8,36110520,67191714.06999986
2018,8,36110530,2291587.679999985
2018,8,36110555,691684.0699999953
2018,8,36110560,1413432.4699999804
2018,8,44131320,8775.30999999998
