year,month,h_dng_cd,population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,living_sector_revenue,d_sum,n_sum,spop
2017,1,36110250,877742.7379900002,45032,32302,35741,25719590219,32302,35741,29470770.820000306
2017,1,36110310,226899.15326299996,2571,5329,6563,1971607604,5329,6563,5395473.9300000295
2017,1,36110320,96940.0531435,3275,4064,2394,1103265478,4064,2394,3147969.300000005
2017,1,36110330,160458.97342100006,6404,8514,5551,6700991418,8514,5551,5101958.550000005
2017,1,36110340,130786.112908,9052,13606,13309,4274520227,8371,6494,7478523.919999965
2017,1,36110350,179638.94910300005,5964,9147,8943,4492537921,11721,14358,10592303.00999999
2017,1,36110360,228127.097434,7444,9194,8310,3943645005,9194,8310,6895632.849999983
2017,1,36110370,180594.768401,6039,7712,5246,3745757758,7712,5246,5821647.160000012
2017,1,36110380,61912.725338100005,3658,2854,1974,1086959949,2854,1974,2092617.8499999868
2017,1,36110390,41554.3382989,2691,1533,1336,2618439085,1533,1336,1323803.7900000024
2017,1,36110510,815397.6662489999,35310,42646,42538,24869281438,28491,28567,11591733.159999998
2017,1,36110520,1197998.2347809998,30988,38169,38044,23833620515,25354,25401,63810087.81999946
2017,1,36110530,360237.6788899999,50565,58435,58637,14037010168,39503,39833,398251.5999999979
2017,1,36110540,315895.811864,29965,35268,35311,10958510169,23658,23811,1492241.600000006
2017,2,36110250,872403.0886799998,45022,32351,35846,23785940609,32351,35846,26383037.019999955
2017,2,36110310,246818.51104300003,2572,5595,6599,2118181157,5595,6599,4893613.810000028
2017,2,36110320,93837.332691,3257,4089,2352,1150240612,4089,2352,2820181.8800000073
2017,2,36110330,160544.29394500007,6374,8747,5628,5856002784,8747,5628,4593095.100000005
2017,2,36110340,128058.49358799998,9037,13743,13373,4240209083,8531,6710,6789923.54
2017,2,36110350,213922.753299,5997,9278,9031,4474077593,12002,14535,9799769.459999992
2017,2,36110360,218535.08768100003,7482,9174,8439,3805452066,9174,8439,6093549.6400000015
2017,2,36110370,181860.616692,6031,8219,5306,3195443586,8219,5306,5258140.4500000095
2017,2,36110380,60352.51205,3646,2885,1933,963620151,2885,1933,1861390.6700000037
2017,2,36110390,38976.865839499995,2683,1516,1344,2234828893,1516,1344,1127364.6600000076
2017,2,36110510,540642.969682,22353,27061,26915,18171828169,18236,18229,10766427.69000002
2017,2,36110520,659511.30423,31284,38755,38482,21823020320,25862,25823,60078735.75999991
2017,2,36110530,375119.484637,24455,28330,28334,7279724615,19333,19431,385278.6799999984
2017,2,36110540,315282.828646,30346,35971,35892,10562604420,24227,24305,1504050.1799999946
2017,2,36110560,315685.31737900013,14792,17950,17831,4034066536,11987,11976,1150691.739999998
2017,3,36110250,1002670.5130799998,45029,40947,43932,30898562169,40947,43932,33010220.39000006
2017,3,36110310,246971.24585799998,2566,6317,7066,2367523458,6317,7066,5369444.479999967
2017,3,36110320,94127.04080590002,3250,4131,2346,1173401601,4131,2346,2955305.259999974
2017,3,36110330,154849.28486400002,6339,8858,5597,6574570936,8858,5597,4850913.470000009
2017,3,36110340,119506.42475099998,9018,14257,13765,5103547016,8222,6837,7069894.610000042
2017,3,36110350,328623.338789,6025,9708,9386,6573898830,14707,16294,11402320.229999945
2017,3,36110360,212653.95048100004,7479,9419,8514,4226531923,9419,8514,6522229.309999994
2017,3,36110370,165254.482664,6015,8369,5231,3674256834,8369,5231,5420791.300000023
2017,3,36110380,57865.81573023,3651,2932,1889,1021054166,2932,1889,1945701.4899999918
2017,3,36110390,35096.389022300005,2676,1467,1295,2784749949,1467,1295,1145816.15
2017,3,36110510,512199.84593600006,22382,28426,28089,21543243237,19268,19139,11161356.959999977
2017,3,36110520,610727.5711439999,31528,40810,40279,26134848413,27411,27203,66849218.57999981
2017,3,36110530,334963.338894,24469,29579,29391,7948848682,20307,20279,476090.7500000015
2017,3,36110540,288083.419438,30414,37637,37315,11615464011,25488,25412,185021.14999999953
2017,3,36110560,323829.6801860001,18085,22714,22442,5281279346,15292,15201,535778.0600000074
2017,4,36110250,1075287.2384199998,44908,41126,44661,28626362051,41126,44661,34371024.549999885
2017,4,36110310,253416.00691200013,2540,6010,6949,2219025449,6010,6949,5513731.040000027
2017,4,36110320,99450.19219,3239,4062,2309,1104004500,4062,2309,3034768.0699999807
2017,4,36110330,162092.45603399994,6338,8883,5608,5887794828,8883,5608,4958299.8900000015
2017,4,36110340,130773.246777,8988,14148,13780,4608469060,8302,6854,7547446.9700000025
2017,4,36110350,374176.28450300003,6060,9725,9490,6130410918,14858,16560,11954823.099999975
2017,4,36110360,239394.796013,7458,9549,8643,4138501561,9549,8643,6938722.139999985
2017,4,36110370,190947.501074,5979,8156,5226,3072564185,8156,5226,5900133.380000011
2017,4,36110380,66875.98038400001,3617,2951,1951,880868660,2951,1951,2166353.6399999945
2017,4,36110390,44690.30286149999,2673,1484,1342,2647517844,1484,1342,1340464.9499999983
2017,4,36110510,541236.442934,24323,30596,30479,20894215058,20894,20916,11337944.869999958
2017,4,36110520,641285.3848780002,31731,40794,40584,23184202471,27576,27577,69806002.91999994
2017,4,36110530,351068.0721560001,24341,29251,29285,7459159041,20210,20330,513532.3000000002
2017,4,36110560,388420.71687700023,19339,24199,24095,5648925898,16384,16411,543100.6900000031
2017,5,36110250,1074636.61013,44622,41328,44465,29352670638,41328,44465,35338579.97999985
2017,5,36110310,249001.40180500003,2564,5833,6395,2203219887,5833,6395,5547198.219999995
2017,5,36110320,110674.757311,3226,4206,2252,1021431663,4206,2252,3537012.379999992
2017,5,36110330,169883.41358599998,6287,8877,5650,5720554066,8877,5650,5392014.04999999
2017,5,36110340,134519.113606,8919,13995,13675,4809036302,8614,7025,8264211.069999968
2017,5,36110350,375232.3511160001,6022,9652,9452,6248032208,14603,16416,12267267.099999964
2017,5,36110360,244930.327092,7431,9604,8647,4053712487,9604,8647,7396815.340000005
2017,5,36110370,210536.841544,5959,8033,5305,3034669125,8033,5305,6771367.090000017
2017,5,36110380,70076.53704000001,3619,3032,1984,955133855,3032,1984,2294751.359999992
2017,5,36110390,45135.46406549999,2664,1534,1382,2794310398,1534,1382,1420510.7600000063
2017,5,36110510,608323.4124939999,29604,37060,37113,21749003194,25535,25707,11702193.930000003
2017,5,36110520,644713.156238,31654,40499,40484,24330994305,27681,27827,75632729.51999977
2017,5,36110530,377051.8382600001,24152,28834,29028,7885107050,20128,20365,546683.1100000017
2017,5,36110560,445307.195474,20106,25082,25088,6474244121,17165,17272,625647.4000000142
2017,6,36110250,1025499.1620200002,44405,39477,42850,27698945471,39477,42850,32644977.71000002
2017,6,36110310,244339.32632,2557,5943,6297,2185035567,5943,6297,5222986.08000002
2017,6,36110320,96683.1600535,3209,4239,2299,1054214278,4239,2299,3024185.9700000263
2017,6,36110330,165305.30388800002,6243,8932,5664,5222827374,8932,5664,5063835.500000024
2017,6,36110340,130087.59290900006,8830,13782,13475,4802743344,8779,7311,7797100.419999999
2017,6,36110350,346095.10791400005,6035,9599,9408,6089486083,14579,16201,11294404.930000013
2017,6,36110360,237013.572986,7476,9641,8636,3773382657,9641,8636,6940339.010000007
2017,6,36110370,196632.744804,5969,8394,5384,2958377133,8394,5384,6044908.399999998
2017,6,36110380,64832.485385,3617,2924,1882,826010710,2924,1882,2049386.6400000008
2017,6,36110390,41898.14186839999,2662,1506,1347,2369356543,1506,1347,1285184.9800000065
2017,6,36110510,674063.0676310001,33554,41600,41742,23126567663,28857,29117,11420423.54
2017,6,36110520,626421.7935279999,31574,39860,39956,24063304579,27457,27681,73179182.14000018
2017,6,36110530,408182.8910020001,24088,28419,28672,8326657571,19984,20268,561158.1599999983
2017,6,36110560,458699.6644809999,20525,25272,25364,6973308657,17429,17599,613517.740000003
2017,7,36110250,872747.4313400001,44414,34225,37748,24642142885,34225,37748,29168215.44000015
2017,7,36110310,242522.736129,2550,5922,6519,2213843820,5922,6519,5350760.6600000365
2017,7,36110320,98516.58681499996,3207,4235,2405,973883681,4235,2405,3098158.9000000143
2017,7,36110330,155038.965531,6209,8939,5644,5127808208,8939,5644,4900129.429999978
2017,7,36110340,126946.20811300002,8848,13411,13281,4682546790,8903,7422,8014989.150000009
2017,7,36110350,213895.98877400003,6048,9272,9199,5137387751,12509,14773,10658955.360000003
2017,7,36110360,232464.143669,7431,9695,8565,4075193410,9695,8565,6944397.160000011
2017,7,36110370,173752.72401900002,5962,7969,5366,2791166240,7969,5366,5578896.7499999935
2017,7,36110380,61461.2609411,3608,2936,1893,907304689,2936,1893,2026779.8800000024
2017,7,36110390,38847.0383047,2652,1548,1408,2322818312,1548,1408,1244553.1600000085
2017,7,36110510,744744.7988619999,35949,43019,43599,25530533891,30008,30560,11782681.489999987
2017,7,36110520,652465.3055670002,31805,38724,39196,25318967018,26839,27305,74408996.81999958
2017,7,36110530,400742.506888,24114,27492,28010,8539012687,19452,19909,618086.4000000025
2017,7,36110560,465996.11227600026,20885,24840,25177,6645617309,17241,17567,673128.2300000103
2017,8,36110250,854096.9419600002,44396,33321,36730,24574916886,33321,36730,28667961.499999996
2017,8,36110310,303326.089875,2563,7664,9795,2056907092,7664,9795,7315912.750000012
2017,8,36110320,97830.565209,3175,4030,2341,916443656,4030,2341,3065865.159999984
2017,8,36110330,152738.58600900002,6204,8807,5556,4964922311,8807,5556,4857606.849999974
2017,8,36110340,122573.351202,8826,13200,13139,4756809939,8853,7411,7991946.8699999675
2017,8,36110350,223869.472715,6036,9097,9078,5151914199,12352,13044,10419541.389999993
2017,8,36110360,234687.892702,7424,9670,8621,4050730399,9670,8621,6988189.859999985
2017,8,36110370,175604.09577900002,5941,8185,5371,2942054311,8185,5371,5645621.210000026
2017,8,36110380,63591.505535000004,3579,3031,1952,837188421,3031,1952,2101826.97
2017,8,36110390,39865.6311145,2652,1536,1383,2187516707,1536,1383,1266513.1700000046
2017,8,36110510,764191.880948,37698,44584,45324,24492882193,31246,31908,11619700.050000027
2017,8,36110520,654045.5324639999,31937,38363,38949,24366348484,26716,27251,72621875.75999978
2017,8,36110530,387071.32714600005,24182,27214,27807,8290970696,19350,19850,613004.6199999988
2017,8,36110560,460372.30053999997,21919,25620,26046,7211882933,17885,18273,716838.0100000106
2017,9,36110250,1000526.3667800005,44361,39854,42613,28464373178,39854,42613,31753155.17000009
2017,9,36110310,395397.25373700005,2581,15292,11031,2189195626,15292,11031,11583307.139999947
2017,9,36110320,111603.44891630001,3168,4235,2430,1006154274,4235,2430,3403335.4999999837
2017,9,36110330,161782.92583400002,6188,9159,5739,5730830847,9159,5739,4991498.879999971
2017,9,36110340,119654.92645900002,8781,13681,13394,4783511849,9228,7516,9456890.939999992
2017,9,36110350,301108.692567,6036,9533,9354,5967345308,14636,15462,15664318.849999938
2017,9,36110360,235171.64112700004,7413,10098,9563,3837054729,10098,9563,7098886.489999998
2017,9,36110370,177189.53542700005,5935,7811,5267,3139568057,7811,5267,5472656.139999995
2017,9,36110380,66613.09640780001,3570,3109,2010,822669106,3109,2010,2113437.2300000014
2017,9,36110390,41234.5287239,2661,1500,1429,2349477442,1500,1429,1265855.9399999918
2017,9,36110510,730650.9272129999,39387,48689,48767,24119149845,34164,34389,12172107.290000085
2017,9,36110520,624153.0325420001,32016,40120,40135,25146597684,27996,28146,62383579.92999982
2017,9,36110530,371686.147871,24210,28327,28522,8412080806,20184,20413,1654649.5399999986
2017,9,36110560,438495.1155180001,22357,27228,27274,7643555824,19042,19173,1181364.8100000115
2017,10,36110250,993090.23413,44253,40558,43094,26610392757,40558,43094,31987119.81000005
2017,10,36110310,391234.296424,2594,15647,12099,2055734541,15647,12099,12881670.679999916
2017,10,36110320,116020.49582300002,3146,3914,2361,853151113,3914,2361,3658098.930000006
2017,10,36110330,158170.60555500002,6159,8837,5615,5293493527,8837,5615,5024575.139999983
2017,10,36110340,131765.869872,8747,14240,13674,4146127246,9317,8012,10702471.819999952
2017,10,36110350,292636.75032600004,6050,10006,9622,5010185612,13465,14957,18274530.00000005
2017,10,36110360,236985.633943,7438,10352,10365,3627435331,10352,10365,7795541.7900000075
2017,10,36110370,184712.139194,5918,8036,5510,2977723222,8036,5510,5926609.929999998
2017,10,36110380,70147.46475100004,3571,3059,2044,719136548,3059,2044,2322496.160000008
2017,10,36110390,48981.3780116,2656,1599,1470,2498736836,1599,1470,1452760.1399999976
2017,10,36110510,311329.406176,19762,25000,24533,14190596477,17632,17378,12922409.259999985
2017,10,36110515,465035.594954,21162,28045,27417,8905648020,19742,19386,2974387.969999997
2017,10,36110520,572733.3704840001,32095,42139,41233,23522513656,29560,29050,60888777.49000032
2017,10,36110530,396834.6714969999,24225,29663,29215,7567695286,21227,20989,2366123.469999994
2017,10,36110560,481769.736446,23552,30114,29473,7354489805,21176,20822,1421490.6399999862
2017,11,36110250,1024481.79946,44109,41233,44286,27242384117,41233,44286,32224357.60000007
2017,11,36110310,398355.46514499997,2579,15791,12359,2173285253,15791,12359,12753023.479999956
2017,11,36110320,115208.16759200001,3129,4130,2448,927598123,4130,2448,3492260.6499999966
2017,11,36110330,159944.905503,6114,9289,5889,5848237511,9289,5889,4879865.519999993
2017,11,36110340,135379.766812,8731,14211,13790,4636696546,9361,8338,10357870.540000046
2017,11,36110350,331776.125973,6039,9996,9727,5585358353,13875,15241,17963581.960000057
2017,11,36110360,235568.73476700005,7411,10365,10415,3551442213,10365,10415,7447920.32000001
2017,11,36110370,184422.58174300002,5894,8397,5612,3093888349,8397,5612,5690952.6500000125
2017,11,36110380,65801.34967400001,3557,3056,2049,757548600,3056,2049,2099573.279999988
2017,11,36110390,44253.2367863,2649,1688,1512,2304319733,1688,1512,1356676.6399999962
2017,11,36110510,303066.93885700003,19819,24968,24762,13101741489,17680,17606,12697860.509999946
2017,11,36110515,494665.6738879999,22195,29308,29038,10089035403,20717,20625,4010572.520000005
2017,11,36110520,568544.202817,32073,41946,41564,23511092038,29557,29419,61569449.58000006
2017,11,36110530,399912.5967340001,24161,29408,29295,7836576127,21143,21143,2478091.1800000025
2017,11,36110560,528887.0249229999,25581,32646,32390,7837049774,23064,22995,1362237.290000003
2017,12,36110250,980902.31091,44019,39815,42674,28189152735,39815,42674,31813274.000000115
2017,12,36110310,400838.478037,2602,15085,11914,2277202874,15085,11914,12863047.85999997
2017,12,36110320,109202.540832,3111,4165,2500,871240185,4165,2500,3414130.21999998
2017,12,36110330,154462.22993499998,6137,8864,5829,5717559784,8864,5829,4894431.669999987
2017,12,36110340,123930.85613,8678,14063,13615,5250018466,8811,8068,10410842.249999987
2017,12,36110350,303837.10620700003,6002,9848,9561,5862203951,12736,14479,17481584.499999866
2017,12,36110360,225470.050951,7385,10500,10162,3667635498,10500,10162,7366216.9399999585
2017,12,36110370,169890.24714800002,5888,7830,5604,3075403093,7830,5604,5407525.629999965
2017,12,36110380,60554.02082830001,3564,2903,1984,742908646,2903,1984,1994941.5299999956
2017,12,36110390,41489.0316824,2654,1723,1570,2167121188,1723,1570,1336683.0899999943
2017,12,36110510,308352.07839200005,19839,24845,24568,14833517011,17674,17552,13221182.500000184
2017,12,36110515,529457.449752,23123,30282,29931,11286223917,21520,21368,4909460.170000037
2017,12,36110520,578383.470039,32128,41696,41200,27047937553,29535,29310,65582903.38
2017,12,36110530,411195.962109,24228,29315,29117,8726814590,21187,21125,2412177.4299999983
2017,12,36110560,541540.1309979999,27735,35153,34795,8511905491,24973,24831,1451436.429999959
2018,1,36110250,864707.6737999999,43953,33553,37067,23177815302,33553,37067,28338713.64999992
2018,1,36110310,384706.573131,2597,14784,11278,1865491786,14784,11278,12678656.119999954
2018,1,36110320,105630.132102,3095,4084,2522,868600476,4084,2522,3431995.120000008
2018,1,36110330,156775.36879500002,6127,8842,5695,5315126066,8842,5695,4974634.32
2018,1,36110340,128138.11476400001,8664,13566,13296,4603636442,8513,7834,10252159.140000056
2018,1,36110350,186038.15653700003,5973,9434,9265,4656510149,10580,12576,15603364.54999987
2018,1,36110360,225888.417551,7395,10564,10022,3397083642,10564,10022,7389817.060000051
2018,1,36110370,176350.3536,5894,8149,5807,3037093726,8149,5807,5617591.98999997
2018,1,36110380,59235.14061440001,3540,2926,1963,647495124,2926,1963,1955337.810000016
2018,1,36110390,42412.1645366,2643,1752,1586,1902046160,1752,1586,1377116.6099999987
2018,1,36110510,305107.5129640001,19871,23959,23922,13663661946,17141,17178,13236714.179999975
2018,1,36110515,558450.4322350001,23949,30139,30078,11894823821,21550,21594,5457422.14999999
2018,1,36110520,614456.8554069999,32246,40240,40152,24925994128,28650,28702,70268577.94000028
2018,1,36110530,438255.469523,24335,28360,28431,9119742162,20600,20723,2199113.2600000096
2018,1,36110560,600103.949699,29689,36175,36167,8755191434,25856,25962,1422557.4500000018
2018,2,36110250,893447.2995400002,43870,32875,36167,21955000436,32875,36167,25949611.70999995
2018,2,36110310,378984.7861989999,2602,14380,10818,1786233526,14380,10818,11225806.169999922
2018,2,36110320,112120.330993,3077,4084,2563,861519059,4084,2563,3278704.109999991
2018,2,36110330,158433.32884399995,6110,8810,5699,4893874380,8810,5699,4560312.700000017
2018,2,36110340,124833.13306,8644,13341,13044,4193868390,8793,7841,9816541.98999999
2018,2,36110350,187172.964202,5940,9235,9052,4423221327,10091,11978,13683898.969999965
2018,2,36110360,233583.49519300004,7367,10562,9954,3334378245,10562,9954,6969721.539999963
2018,2,36110370,201687.08228,5853,7975,5844,2808293316,7975,5844,6009774.5899999915
2018,2,36110380,65841.692113,3515,2962,2058,607402555,2962,2058,2003514.3500000103
2018,2,36110390,49273.6365932,2624,1821,1590,2128425328,1821,1590,1379302.0099999965
2018,2,36110510,303949.44161700003,19840,23423,23409,14440965539,16868,16927,11926961.90999999
2018,2,36110515,587921.123438,27088,32988,32967,10954360213,23788,23878,5711520.089999985
2018,2,36110520,613581.2929920001,32371,39637,39579,23781333440,28405,28488,63583699.23999979
2018,2,36110530,443806.803787,24334,27808,27913,8028319855,20325,20480,1937316.1099999887
2018,2,36110560,611448.52933,31372,37353,37371,8288031992,26887,27025,1395001.2499999935
2018,3,36110250,1077774.43345,43849,42171,44985,28763897917,42171,44985,33276414.95999981
2018,3,36110310,382814.73631,2582,14638,10954,1804143198,14638,10954,12620054.490000013
2018,3,36110320,109859.39030999996,3047,4295,2781,993413329,4295,2781,3541786.7999999924
2018,3,36110330,156654.41412800006,6046,9081,5808,5491941492,9081,5808,4935778.420000017
2018,3,36110340,118750.013477,8605,13825,13517,4804095514,9208,8236,10645819.179999983
2018,3,36110350,361383.52898599993,5884,9555,9373,6222909247,12684,14211,16504706.859999985
2018,3,36110360,226769.328957,7365,10326,10212,3946438434,10326,10212,7416001.479999983
2018,3,36110370,181893.52917100003,5810,8343,5833,2893939506,8343,5833,5708621.309999995
2018,3,36110380,62342.89004680002,3493,2998,2012,779596972,2998,2012,2047276.5199999984
2018,3,36110390,42825.7499362,2614,1836,1589,2322250123,1836,1589,1367283.9499999888
2018,3,36110510,271035.24542199995,19695,24433,24428,15556221372,17685,17751,12848298.140000012
2018,3,36110515,662458.696706,29890,38327,38285,13640162634,27761,27850,9631341.889999988
2018,3,36110520,569292.9242090001,32233,41492,41416,28686732150,29876,29950,68724005.49000001
2018,3,36110530,381754.93279200007,24331,29193,29317,9058136369,21444,21614,2415055.3999999957
2018,3,36110560,607966.018541,32308,40362,40377,9976753432,29196,29338,1512783.8600000204
2018,4,36110250,1082020.21768,43614,42435,45111,27252735717,42435,45111,32361829.94000011
2018,4,36110310,372005.12014899997,2560,14929,10619,1957805061,14929,10619,11900189.980000012
2018,4,36110320,113099.27656900001,3031,4217,2643,901402860,4217,2643,3450481.3499999824
2018,4,36110330,158292.026481,6023,9130,5916,5539131092,9130,5916,4828895.939999986
2018,4,36110340,114766.405723,8574,13754,13441,4718618732,9494,8260,10643007.699999982
2018,4,36110350,425010.038703,5852,9484,9304,6698407653,13090,14161,15856722.09999992
2018,4,36110360,229245.598314,7309,10382,9916,4093024755,10382,9916,7241615.169999997
2018,4,36110370,182900.182463,5771,8414,5873,2755427280,8414,5873,5671111.479999988
2018,4,36110380,65508.34371749999,3482,3105,2098,880397377,3105,2098,2066911.8699999948
2018,4,36110390,44367.8958542,2602,1775,1625,2487745424,1775,1625,1361583.0999999978
2018,4,36110510,265992.73626800004,19531,24106,24105,14050593363,17544,17614,12254989.46999995
2018,4,36110515,699641.105044,34487,43593,43637,14019490941,31800,31969,12286327.839999987
2018,4,36110520,565009.3297670003,32126,41115,41072,26308900936,29774,29871,65476808.3900001
2018,4,36110530,381831.019643,24185,28807,28939,8929438058,21280,21457,2314271.0600000154
2018,4,36110560,591826.773788,32728,40564,40636,9901267068,29523,29710,1401892.059999991
2018,5,36110250,1063524.2822800002,43496,41958,44656,28588193451,41958,44656,32774501.61999996
2018,5,36110310,376776.7258110001,2547,14942,10440,2313809767,14942,10440,12430793.02999996
2018,5,36110320,109660.15330399999,3022,4320,2633,1132002726,4320,2633,3489112.110000001
2018,5,36110330,160677.61479000002,6023,9452,5934,5926059058,9452,5934,5062764.28999999
2018,5,36110340,115972.276922,8574,13738,13436,4764990557,9668,8243,10709029.110000027
2018,5,36110350,402235.903418,5865,9479,9304,6901389779,13205,14200,16243644.599999968
2018,5,36110360,226099.79611500003,7285,10545,10298,4325183296,10545,10298,7381709.880000007
2018,5,36110370,183510.61601199998,5758,8395,5993,2866572161,8395,5993,5848791.709999957
2018,5,36110380,67776.964322,3472,3218,2136,995279892,3218,2136,2214752.2000000067
2018,5,36110390,44594.5883922,2584,1841,1618,2538927750,1841,1618,1417502.6800000097
2018,5,36110510,271113.876478,19432,23997,23986,14988380901,17526,17588,12380781.950000098
2018,5,36110515,728413.414679,37334,47136,47170,16228282992,34519,34693,14764275.980000047
2018,5,36110520,554712.912014,31982,40884,40837,27856950824,29732,29822,65164123.20999971
2018,5,36110530,360418.9401869999,24071,28680,28798,9472496580,21258,21423,2341335.02
2018,5,36110560,593889.7156919999,33023,40833,40903,10648650526,29843,30031,1458395.7800000028
2018,6,36110250,1031307.6307399998,43253,40710,43313,28077590989,40710,43313,30758664.47000007
2018,6,36110310,383383.4585329999,2535,14915,10669,2229941706,14915,10669,12284660.459999995
2018,6,36110320,109410.54919800002,3017,4295,2672,979051434,4295,2672,3299060.84999998
2018,6,36110330,160931.29448799998,6040,9342,6077,6083326525,9342,6077,4910373.04999999
2018,6,36110340,115670.541744,8572,13639,13348,4842645700,9755,8478,10221307.54
2018,6,36110350,345892.7513519999,5860,9397,9223,6621311317,12352,13855,15516409.680000044
2018,6,36110360,224876.290989,7270,10565,10339,4375487229,10565,10339,7109064.1300000185
2018,6,36110370,180737.147481,5749,8659,5916,2830187435,8659,5916,5573265.510000033
2018,6,36110380,66159.454031,3462,3221,2176,789547681,3221,2176,2097138.0600000015
2018,6,36110390,42593.6995784,2556,1830,1668,2558735635,1830,1668,1327334.3299999998
2018,6,36110510,269846.3503330001,19338,23610,23647,14496701869,17309,17406,12058618.479999933
2018,6,36110515,811139.919198,40067,50072,50156,16499882998,36836,37051,16152598.900000058
2018,6,36110520,572492.280516,31791,40220,40223,27886120765,29369,29499,64629990.19999988
2018,6,36110530,372414.877684,23934,28244,28416,9610230062,21014,21220,2305303.440000014
2018,6,36110560,613932.964625,33382,40874,40982,11080225577,30008,30223,1476898.6000000103
2018,7,36110250,909726.0583,43091,34896,37644,26057261730,34896,37644,28091261.01000009
2018,7,36110310,372470.207665,2549,14618,10101,2223611213,14618,10101,12290782.219999924
2018,7,36110320,106033.80980299998,3016,4403,2693,962654315,4403,2693,3380374.6100000124
2018,7,36110330,161442.70663900007,6009,9401,6074,6559577575,9401,6074,5079123.9999999935
2018,7,36110340,114992.135285,8572,13235,13092,4899571941,9692,8389,10129594.160000017
2018,7,36110350,191830.325194,5843,9069,9004,5924082274,10553,12478,14846393.370000055
2018,7,36110360,224143.118947,7263,10573,10275,4797739257,10573,10275,7316473.910000041
2018,7,36110370,178232.17466800005,5730,8467,5904,2638356042,8467,5904,5632145.000000021
2018,7,36110380,65331.77945900001,3471,3262,2201,861296721,3262,2201,2160352.1599999946
2018,7,36110390,42858.520305199985,2553,2010,1655,2558481624,2010,1655,1382849.080000003
2018,7,36110510,268040.94443699997,19252,22672,22979,15947677832,16676,16976,12223188.07999996
2018,7,36110515,843158.8916019999,41870,50344,51043,17559266553,37169,37858,18825738.36
2018,7,36110520,616965.417089,31718,38730,39196,29710732030,28371,28840,66874166.6800001
2018,7,36110530,394918.5743989999,23782,27116,27602,9953655355,20233,20680,2270513.4000000227
2018,7,36110560,609122.2475429999,34171,40389,40983,11781148931,29753,30334,1451214.9399999757
2018,8,36110250,884162.8921399999,43023,34496,37128,24722460432,34496,37128,27386036.21000005
2018,8,36110310,367853.343644,2522,14730,10346,2102734728,14730,10346,12139680.509999972
2018,8,36110320,105675.694127,2997,4405,2750,997387867,4405,2750,3324398.910000015
2018,8,36110330,164275.79808399998,6000,9251,6069,6376855083,9251,6069,5182583.059999978
2018,8,36110340,124104.47752699998,8542,13069,12970,4853380864,9409,8168,9848538.359999958
2018,8,36110350,255583.11052199997,5839,8981,8940,6335608589,10900,12497,14742059.110000065
2018,8,36110360,230358.05951,7260,10613,10376,4753838084,10613,10376,7306278.750000011
2018,8,36110370,177751.976643,5699,8684,5989,2568289662,8684,5989,5673626.16000001
2018,8,36110380,72072.54384900001,3466,3225,2263,761636896,3225,2263,2342983.060000016
2018,8,36110390,42463.82503800002,2535,1933,1673,2555764718,1933,1673,1379977.460000002
2018,8,36110510,287943.735975,19166,22509,22764,15047571017,16631,16880,12310490.010000005
2018,8,36110515,915137.468049,43337,51813,52463,18072399600,38464,39094,19449147.919999965
2018,8,36110520,656079.3039930001,31700,38609,39005,28602532766,28417,28814,67191714.06999986
2018,8,36110530,432619.18811099994,23679,26922,27334,10194780912,20177,20548,2291587.679999985
2018,8,36110560,704982.0316260002,35789,42210,42779,12204894873,31218,31764,1413432.4699999804
